Company,Date,Open,High,Low,Close,Volume
1JANATAMF,17/01/1930,6.8,6.8,6.35,6.53,1412536
1JANATAMF,18/01/1930,6.4,6.5,6.4,6.5,234158
1JANATAMF,16/03/1930,2.7,2.79,2.7,2.79,271356
1JANATAMF,17/03/1930,6.16,6.25,6.16,6.25,670890
1JANATAMF,17/04/1930,6.35,6.35,6.25,6.25,305771
1JANATAMF,18/04/1930,6.4,6.4,6.3,6.4,294311
1JANATAMF,16/05/1930,2.96,2.96,2.87,2.87,20960
1JANATAMF,17/05/1930,6.62,6.8,6.53,6.53,3033807
1JANATAMF,18/05/1930,6.1,6.2,6.1,6.2,79965
1JANATAMF,16/06/1930,3.13,3.22,3.05,3.22,968238
1JANATAMF,17/07/1930,6.53,6.53,6.44,6.44,579923
1JANATAMF,18/07/1930,6.1,6.2,6,6.2,1036350
1JANATAMF,16/08/1930,2.96,3.05,2.87,2.96,855831
1JANATAMF,17/08/1930,6.44,6.44,6.35,6.44,443519
1JANATAMF,18/08/1930,6.1,6.2,6.1,6.2,71503
1JANATAMF,18/09/1930,4.5,4.6,4.4,4.5,84612
1JANATAMF,16/10/1930,3.35,3.35,3.25,3.25,355280
1JANATAMF,17/10/1930,6.6,6.7,6.5,6.5,71012
1JANATAMF,18/10/1930,4.4,4.5,4.3,4.4,38819
1JANATAMF,16/11/1930,4.53,4.62,4.44,4.53,1088604
1JANATAMF,17/11/1930,6.5,6.5,6.4,6.4,67317
1JANATAMF,16/01/1931,2.79,2.79,2.7,2.79,71747
1JANATAMF,17/01/1931,6.53,6.89,6.44,6.71,1574880
1JANATAMF,18/01/1931,6.4,6.4,6.4,6.4,56133
1JANATAMF,16/03/1931,2.7,2.79,2.7,2.79,317697
1JANATAMF,16/05/1931,2.87,2.96,2.87,2.87,52580
1JANATAMF,17/05/1931,6.53,6.8,6.53,6.53,1970584
1JANATAMF,18/05/1931,6.1,6.2,6.1,6.2,182964
1JANATAMF,16/07/1931,3.22,3.31,3.22,3.22,150379
1JANATAMF,17/07/1931,6.44,6.53,6.35,6.44,689571
1JANATAMF,18/07/1931,6.1,6.2,6.1,6.2,192245
1JANATAMF,16/08/1931,2.96,3.05,2.87,2.96,1836240
1JANATAMF,17/08/1931,6.44,6.71,6.35,6.62,856713
1JANATAMF,16/10/1931,3.25,3.35,3.25,3.25,51557
1JANATAMF,17/10/1931,6.6,6.6,6.5,6.5,131082
1JANATAMF,18/10/1931,4.4,4.5,4.3,4.3,86115
1JANATAMF,17/01/2001,5.25,5.53,5.16,5.53,4125771
1JANATAMF,17/01/2001,5.25,5.53,5.16,5.53,4125771
1JANATAMF,18/01/2001,6.5,6.6,6.4,6.6,57605
1JANATAMF,18/01/2001,6.5,6.6,6.4,6.6,57605
1JANATAMF,16/02/2001,2.7,2.79,2.7,2.7,152693
1JANATAMF,17/02/2001,6.62,6.89,6.53,6.62,1295920
1JANATAMF,18/02/2001,6.4,6.5,6.3,6.5,296048
1JANATAMF,16/03/2001,2.79,2.79,2.7,2.79,81105
1JANATAMF,17/03/2001,6.16,6.16,6.07,6.16,300933
1JANATAMF,18/03/2001,6.1,6.2,6.1,6.1,143882
1JANATAMF,18/04/2001,6.1,6.3,6.1,6.2,264768
1JANATAMF,16/06/2001,2.87,3.05,2.87,2.96,195151
