open,high,low,volume,close
20.64,20.64,20.37,16362363,20.56
20.92,20.92,20.6,21850597,20.64
21,21.15,20.72,26910139,20.94
20.7,21.57,20.7,64585536,21.02
20.6,20.7,20.2,45886018,20.7
20.72,20.75,20.51,27459940,20.6
20.79,20.91,20.67,31390635,20.8
20.63,20.85,20.58,53371294,20.79
20.63,21,20.55,85199675,20.58
20.53,20.64,20.51,15329708,20.58
21,21.06,20.48,31764040,20.53
21.28,21.29,21,23103560,21.01
21.2,21.43,21.02,25855177,21.27
21.58,21.6,21.1,39465474,21.2
21.4,21.69,21.3,38448342,21.49
21.08,21.91,20.96,53490634,21.45
21.15,21.17,20.95,24358136,21.07
21.01,21.34,20.82,28824296,21.18
21.49,21.49,20.85,55586513,21.13
22,22.28,21.5,78914655,21.54
21.41,21.68,21.13,51662392,21.27
21.36,21.57,21,50642669,21.29
20.81,22.4,20.72,120994029,21.57
20.65,20.88,20.51,41923514,20.71
20.52,20.75,20.52,23630845,20.6
20.6,20.73,20.35,24603911,20.51
20.27,20.85,20.26,65786244,20.72
20.24,20.29,20.18,18157223,20.26
20.25,20.39,20.14,27633698,20.22
20.34,20.37,20.12,17026059,20.2
20.52,20.54,20.33,22282700,20.34
20.55,20.59,20.49,25060119,20.5
20.52,20.59,20.47,15976221,20.53
20.57,20.63,20.48,29344657,20.52
20.72,20.77,20.62,21753989,20.72
20.94,20.98,20.72,19163766,20.79
20.95,20.95,20.79,22536608,20.9
20.72,20.98,20.63,53685670,20.98
20.55,20.73,20.52,24748349,20.61
20.68,20.68,20.52,19814207,20.54
20.67,20.76,20.59,17105450,20.68
20.9,20.9,20.66,28732257,20.67
20.77,20.98,20.7,36976369,20.91
20.65,20.85,20.59,28517150,20.77
20.78,20.78,20.57,33492607,20.66
20.71,21.35,20.68,67924870,20.8
20.64,20.71,20.5,18008168,20.69
20.59,20.82,20.56,17407661,20.64
20.68,20.74,20.6,14102806,20.71
20.69,20.79,20.64,10892658,20.68
20.65,20.77,20.65,14124823,20.68
20.68,20.73,20.52,15464746,20.61
20.77,20.8,20.65,15931840,20.69
20.7,20.85,20.7,15637306,20.74
20.6,20.83,20.54,21505311,20.68
20.7,20.88,20.55,21688806,20.6
20.67,21.18,20.53,32477225,20.92
20.73,20.96,20.39,32104040,20.8
21.81,21.81,20.31,55324012,21
21,22.4,20.9,106426641,21.81
20.52,20.63,20.4,16865220,20.4
20.67,20.69,20.52,15917148,20.58
20.6,20.75,20.53,15095445,20.66
20.94,21.04,20.61,23591954,20.64
20.85,21.23,20.78,31012563,20.93
20.74,20.95,20.45,33155480,20.85
20.55,20.88,20.55,21701669,20.73
20.88,20.96,20.45,26115000,20.55
21.29,21.32,20.7,32204601,20.84
21.24,21.48,21.01,32151732,21.2
20.65,21.98,20.59,74330548,21.42
20.21,20.69,20.12,37812479,20.65
20.47,20.67,20.25,32435908,20.3
20.3,20.77,20.1,49971724,20.61
20.2,20.7,20.2,53130409,20.48
21,21,20.15,71906542,20.33
22,22,21.04,70048497,21.1
22.12,22.75,22.12,29397618,22.46
22.15,22.62,21.88,35562867,22.33
22.67,22.9,22.2,41281457,22.29
23.02,23.28,21.86,48450098,23.06
24.78,24.78,23.07,78901945,23.26
24.61,25.17,24.37,48168045,24.81
25.1,25.13,24.7,38055084,24.74
25.35,25.37,24.18,49462389,25.14
25.15,25.63,25.15,35645541,25.38
